Text,Prediction_Label
Yo no creo que a nadie le haya encantado un pene flácido .,Human
No va a resolver sus problemas de crédito o mejorar su relación con su padre .,Human
Te encantará este !,Human
"Yo estaba a volar a un aeropuerto varias horas de distancia , alquilar un coche , conducir a un lugar remoto en Canadá , y desactivar el teléfono .",Human
"( Maid En Manhattan , The Wedding Planner , Jersey Girl , Monster In Law , , Gigli , The Back-Up Plan , ¿ Qué esperar cuando se está esperando )",Human
"Mi padre llegó con la primera ola de fuerzas aliadas en el día D , 6 de junio 1944 .",Machine
Y podemos todos estar de acuerdo que los envases no miente ?,Human
"Por supuesto , todos los compañeros de reparto de Casey en Happy Endings estaban allí también , como Elisha Cuthbert y Damon Wayans Jr .",Machine
"Al estilo chino capitalismo autoritario - sí mismo un producto de las lecciones aprendidas por los líderes leninistas de China desde la caída del Muro - parece más atractivo para mucha gente fuera al oeste tradicional , mientras que el capitalismo desenfrenado , desigual occidental financiera ( también en parte a Hubris post-1989 ) miradas menos .",Human
Si sólo abrasador culpa y la envidia fuera de lugar no eran tan maldito tiempo .,Machine
"Pregunte a sus amigos que tienen su mierda juntos para empezar bien con los adultos , que funcionan adecuadas .",Machine
"Así que para los próximos días , la plaza fue llamada "" Adolf Hitler Platz "" en Google Maps .",Machine
"Hubo reflexiones sobre si los memes constituyen una subcultura y , si es así , si eso podría durar : se especulaba sobre la naturaleza del consumidor de memes , que habría encajado fácilmente en una charla web más tradicional ; y los comentarios de la audiencia insinuaban que la atención de las masas está arruinando la creación de memes brillantes .",Human
"Mientras Rihanna no estaba sentado con el embajador mundial del equipo , su amiga Melissa Forde se aseguró que ella siguiera riendo todo el tiempo !",Human
"Después de Vogue , Adivina qué publicación le ha repudiado públicamente Ahora !",Human
"Meek , residente de Arizona , fue detenido por la policía el 16 de mayo después de que lo encontraron fuera de un inmueble propiedad de la estrella del pop .",Machine
"Yo ya he dejado que ella entregue a la lucha libre , bobsleigh , soldadura , y la recolección de la sarna , pero el piano ?",Human
"Ahora , había un poco de extrañeza por parte de los policías cuando JB fue arrestado , pero cuando se llega a esto , Justin admitió tener cosas en su cuerpo cuando se le detuvo .",Machine
"A menudo me gustaría que tenía una hoja de vida con cualquier cosa en él , además de la comedia , pero yo empecé a hacer esto cuando tenía 20 años .",Human
"Etiquetas : austin butler , austin butler photos , coachella , fashion smashion , love line , vanessa hudgens , vanessa hudgens photos , weekend two",Human
( Esto no es una práctica inusual para algunas asistentes de vida asistida .,Human
"Y ya revelamos información acerca de la segunda generación del teléfono "" , añade .",Human
"Ay , "" Movieapp "" no suena igual .",Machine
¡ Beyoncé es una deslumbrante diosa del glamour en su actuación de los Brit Awards !,Machine
